name,constellation,magnitude,altitude_deg,azimuth_deg
"16Alp Boo","Boo",-0.040,39.202,-80.755
"Alp1Cen","Cen",-0.010,2.187,-158.320
"3Alp Lyr","Lyr",0.030,68.570,24.996
"53Alp Aql","Aql",0.770,59.055,106.556
"21Alp Sco","Sco",0.960,40.802,-155.569
"67Alp Vir","Vir",0.980,17.909,-109.002
"24Alp PsA","PsA",1.160,2.203,121.506
"50Alp Cyg","Cyg",1.250,46.327,43.594
"Alp2Cen","Cen",1.330,2.188,-158.321
"35Lam Sco","Sco",1.630,33.866,-175.863
"Alp Gru","Gru",1.740,3.148,141.070
"77Eps UMa","UMa",1.770,24.404,-37.483
"50Alp UMa","UMa",1.790,11.000,-29.040
"20Eps Sgr","Sgr",1.850,36.453,171.417
"85Eta UMa","UMa",1.860,33.143,-43.394
"The Sco","Sco",1.870,28.940,-177.154
"Alp TrA","TrA",1.920,1.540,-174.593
"Alp Pav","Pav",1.940,8.343,159.225
"HD 143454","Unnamed",2.000,63.416,-72.036
