# observation time 2026-08-01T03:35:23.408 UTC
name,constellation,magnitude,altitude_deg,azimuth_deg
"16Alp Boo","Boo",-0.040,42.611,-81.481
"Alp1Cen","Cen",-0.010,3.374,-159.654
"3Alp Lyr","Lyr",0.030,66.939,31.257
"Bet Cen","Cen",0.610,0.415,-156.536
"53Alp Aql","Aql",0.770,55.725,103.948
"21Alp Sco","Sco",0.960,42.119,-159.576
"67Alp Vir","Vir",0.980,21.151,-110.604
"50Alp Cyg","Cyg",1.250,43.918,44.889
"Alp2Cen","Cen",1.330,3.374,-159.654
"35Lam Sco","Sco",1.630,34.009,-179.371
"Alp Gru","Gru",1.740,1.073,139.794
"77Eps UMa","UMa",1.770,26.500,-37.368
"50Alp UMa","UMa",1.790,12.683,-29.601
"20Eps Sgr","Sgr",1.850,35.829,167.750
"85Eta UMa","UMa",1.860,35.502,-42.863
"The Sco","Sco",1.870,29.018,179.747
"Alp TrA","TrA",1.920,1.808,-175.866
"Alp Pav","Pav",1.940,7.086,157.607
"HD 143454","Unnamed",2.000,66.688,-70.863
"34Sig Sgr","Sgr",2.020,41.149,156.246
"1Alp UMi","UMi",2.020,18.343,0.609
"5The Cen","Cen",2.060,15.922,-138.262
"21Alp And","And",2.060,2.742,59.983
"55Alp Oph","Oph",2.080,82.984,-176.279
"7Bet UMi","UMi",2.080,30.552,-12.405
"94Bet Leo","Leo",2.140,7.406,-77.813
"37Gam Cyg","Cyg",2.200,48.870,50.116
"5Alp CrB","CrB",2.230,61.005,-70.576
"33Gam Dra","Dra",2.230,57.770,5.669
"18Alp Cas","Cas",2.230,7.271,32.668
"79Zet UMa","UMa",2.270,30.926,-37.863
"11Bet Cas","Cas",2.270,12.213,31.289
"26Eps Sco","Sco",2.290,35.855,-168.205
"Alp Lup","Lup",2.300,13.214,-151.195
"Eps Cen","Cen",2.300,1.997,-148.997
"Eta Cen","Cen",2.310,16.060,-146.791
"7Del Sco","Sco",2.320,42.703,-149.105
"48Bet UMa","UMa",2.370,10.978,-34.405
"8Eps Peg","Peg",2.390,29.482,90.100
"Kap Sco","Sco",2.410,32.001,178.557
"53Bet Peg","Peg",2.420,15.885,65.108
"35Eta Oph","Oph",2.430,55.387,-168.847
"5Alp Cep","Cep",2.440,32.658,27.173
"64Gam UMa","UMa",2.440,17.619,-39.171
"53Eps Cyg","Cyg",2.460,45.630,61.696
"27Gam Cas","Cas",2.470,7.020,28.104
"54Alp Peg","Peg",2.490,12.285,77.987
"Zet Cen","Cen",2.550,7.475,-145.711
"13Zet Oph","Oph",2.560,57.484,-151.998
"68Del Leo","Leo",2.560,1.584,-69.431
"4Gam Crv","Crv",2.590,3.463,-109.400
"38Zet Sgr","Sgr",2.600,37.743,156.007
"27Bet Lib","Lib",2.610,45.600,-126.166
"8Bet1Sco","Sco",2.620,45.881,-148.317
"24Alp Ser","Ser",2.650,59.676,-111.848
"9Bet Crv","Crv",2.650,5.215,-116.619
"8Eta Boo","Boo",2.680,37.553,-81.671
"Bet Lup","Lup",2.680,18.144,-150.794
"37Del Cas","Cas",2.680,3.911,26.303
"34Ups Sco","Sco",2.690,33.996,-178.686
"36Eps Boo","Boo",2.700,49.846,-70.492
"19Del Sgr","Sgr",2.700,40.844,167.065
"50Gam Aql","Aql",2.720,57.486,101.290
"1Del Oph","Oph",2.740,60.073,-135.309
"14Eta Dra","Dra",2.740,46.078,-12.773
"9Alp2Lib","Lib",2.750,36.239,-128.009
"Iot Cen","Cen",2.750,8.300,-132.836
"60Bet Oph","Oph",2.770,74.917,173.509
"27Bet Her","Her",2.770,74.224,-80.061
"Gam Lup","Lup",2.780,23.706,-155.484
"23Bet Dra","Dra",2.790,56.983,-1.973
"40Zet Her","Her",2.810,72.634,-43.769
"22Lam Sgr","Sgr",2.810,44.286,163.590
"23Tau Sco","Sco",2.820,40.749,-162.310
"47Eps Vir","Vir",2.830,23.298,-87.183
"Bet Ara","Ara",2.850,15.997,-178.432
"Bet TrA","TrA",2.850,5.702,-168.861
"18Del Cyg","Cyg",2.870,52.857,38.228
"49Del Cap","Cap",2.870,19.261,115.238
"41Pi Sgr","Sgr",2.890,44.000,149.070
"20Sig Sco","Sco",2.890,42.312,-156.744
"6Pi Sco","Sco",2.890,39.102,-151.450
"12Alp2CVn","CVn",2.900,26.936,-56.411
"22Bet Aqr","Aqr",2.910,27.499,106.280
"44Eta Peg","Peg",2.940,20.734,64.047
"Alp Ara","Ara",2.950,22.016,-179.268
"7Del Crv","Crv",2.950,6.895,-109.709
"34Alp Aqr","Aqr",2.960,21.499,97.625
"17Zet Aql","Aql",2.990,67.919,102.311
"10Gam2Sgr","Sgr",2.990,40.517,171.598
"46Gam Hya","Hya",3.000,14.380,-121.123
"2Eps Crv","Crv",3.000,0.615,-113.598
