name,constellation,magnitude,altitude_deg,azimuth_deg
"16Alp Boo","Boo",-0.040,36.648,-99.377
"3Alp Lyr","Lyr",0.030,81.062,131.847
"13Alp Aur","Aur",0.080,0.300,8.007
"53Alp Aql","Aql",0.770,46.833,138.926
"21Alp Sco","Sco",0.960,16.520,-158.293
"67Alp Vir","Vir",0.980,6.555,-112.472
"50Alp Cyg","Cyg",1.250,62.155,74.287
"35Lam Sco","Sco",1.630,8.488,-174.227
"77Eps UMa","UMa",1.770,41.502,-48.531
"50Alp UMa","UMa",1.790,31.482,-33.520
"33Alp Per","Per",1.790,9.644,24.972
"20Eps Sgr","Sgr",1.850,11.600,175.374
"85Eta UMa","UMa",1.860,47.195,-60.326
"The Sco","Sco",1.870,3.649,-175.382
"HD 143454","Unnamed",2.000,58.376,-117.524
"1Alp UMi","UMi",2.020,43.722,0.903
"34Sig Sgr","Sgr",2.020,18.722,167.472
"21Alp And","And",2.060,18.986,67.395
"43Bet And","And",2.060,13.533,53.623
"55Alp Oph","Oph",2.080,57.122,-167.373
"7Bet UMi","UMi",2.080,53.444,-20.358
"26Bet Per","Per",2.120,3.230,31.857
"94Bet Leo","Leo",2.140,7.324,-77.681
"37Gam Cyg","Cyg",2.200,64.094,87.162
"33Gam Dra","Dra",2.230,83.227,-9.114
"5Alp CrB","CrB",2.230,54.981,-109.209
"18Alp Cas","Cas",2.230,30.984,39.856
"57Gam1And","And",2.260,11.618,40.786
"79Zet UMa","UMa",2.270,45.263,-51.806
"11Bet Cas","Cas",2.270,36.125,39.391
"26Eps Sco","Sco",2.290,10.005,-164.899
"7Del Sco","Sco",2.320,18.008,-150.331
"48Bet UMa","UMa",2.370,28.268,-37.944
"8Eps Peg","Peg",2.390,30.840,108.939
"Kap Sco","Sco",2.410,6.652,-176.145
"53Bet Peg","Peg",2.420,29.374,78.044
"35Eta Oph","Oph",2.430,29.494,-165.506
"5Alp Cep","Cep",2.440,56.936,40.161
"64Gam UMa","UMa",2.440,32.719,-45.809
"53Eps Cyg","Cyg",2.460,56.642,95.458
"27Gam Cas","Cas",2.470,31.513,34.586
"54Alp Peg","Peg",2.490,20.849,88.894
"13Zet Oph","Oph",2.560,32.307,-154.900
"68Del Leo","Leo",2.560,5.611,-67.486
"38Zet Sgr","Sgr",2.600,15.487,166.360
"27Bet Lib","Lib",2.610,24.827,-133.997
"8Bet1Sco","Sco",2.620,21.231,-150.291
"24Alp Ser","Ser",2.650,41.139,-131.398
"8Eta Boo","Boo",2.680,32.282,-96.273
"37Del Cas","Cas",2.680,28.639,32.010
"34Ups Sco","Sco",2.690,8.433,-173.655
"36Eps Boo","Boo",2.700,46.949,-96.838
"19Del Sgr","Sgr",2.700,16.615,175.750
"50Gam Aql","Aql",2.720,49.122,138.987
"14Eta Dra","Dra",2.740,67.806,-32.789
"1Del Oph","Oph",2.740,36.797,-145.420
"9Alp2Lib","Lib",2.750,15.516,-132.275
"27Bet Her","Her",2.770,59.779,-133.121
"60Bet Oph","Oph",2.770,49.460,-172.599
"23Bet Dra","Dra",2.790,80.582,-32.680
"40Zet Her","Her",2.810,69.119,-122.863
"22Lam Sgr","Sgr",2.810,20.487,173.822
"23Tau Sco","Sco",2.820,15.022,-160.324
"47Eps Vir","Vir",2.830,17.521,-93.249
"88Gam Peg","Peg",2.830,8.752,77.268
"18Del Cyg","Cyg",2.870,71.979,78.664
"49Del Cap","Cap",2.870,11.167,125.547
"41Pi Sgr","Sgr",2.890,22.966,162.936
"20Sig Sco","Sco",2.890,16.896,-156.129
"6Pi Sco","Sco",2.890,14.194,-151.599
"12Alp2CVn","CVn",2.900,33.988,-67.889
"22Bet Aqr","Aqr",2.910,22.195,121.752
"23Gam Per","Per",2.930,14.612,25.697
"44Eta Peg","Peg",2.940,34.209,79.342
"34Alp Aqr","Aqr",2.960,20.580,111.263
"17Zet Aql","Aql",2.990,55.987,151.993
"10Gam2Sgr","Sgr",2.990,15.726,179.223
"4Bet Tri","Tri",3.000,4.728,44.925
